figure,series,category,x,y,label,note
图6-1,功能模块,存档系统,存档系统,100.0,10/10,功能模块测试通过率统计
图6-1,功能模块,角色控制,角色控制,100.0,12/12,功能模块测试通过率统计
图6-1,功能模块,技能系统,技能系统,95.5,21/22,功能模块测试通过率统计
图6-1,功能模块,敌人AI,敌人AI,85.7,12/14,功能模块测试通过率统计
图6-1,功能模块,分身AI,分身AI,90.0,9/10,功能模块测试通过率统计
图6-1,功能模块,成长与资源,成长与资源,92.3,12/13,功能模块测试通过率统计
图6-1,功能模块,边界流程,边界流程,90.9,10/11,功能模块测试通过率统计
图6-2,avgFps,普通战斗,普通战斗,118.0,,不同场景性能测试结果
图6-2,minFps,普通战斗,普通战斗,101.0,,不同场景性能测试结果
图6-2,frameTimeMs,普通战斗,普通战斗,8.5,,不同场景性能测试结果
图6-2,avgFps,多敌人同屏,多敌人同屏,84.0,,不同场景性能测试结果
图6-2,minFps,多敌人同屏,多敌人同屏,69.0,,不同场景性能测试结果
图6-2,frameTimeMs,多敌人同屏,多敌人同屏,11.9,,不同场景性能测试结果
图6-2,avgFps,多技能/特效同时触发,多技能/特效同时触发,72.0,,不同场景性能测试结果
图6-2,minFps,多技能/特效同时触发,多技能/特效同时触发,58.0,,不同场景性能测试结果
图6-2,frameTimeMs,多技能/特效同时触发,多技能/特效同时触发,13.8,,不同场景性能测试结果
图6-3,passRate,第1关,1,96.0,,关卡通关率统计
图6-3,avgDurationMinutes,第1关,1,6.8,,关卡平均耗时统计
图6-3,passRate,第2关,2,92.0,,关卡通关率统计
图6-3,avgDurationMinutes,第2关,2,8.1,,关卡平均耗时统计
图6-3,passRate,第3关,3,86.0,,关卡通关率统计
图6-3,avgDurationMinutes,第3关,3,10.2,,关卡平均耗时统计
图6-3,passRate,第4关,4,78.0,,关卡通关率统计
图6-3,avgDurationMinutes,第4关,4,12.6,,关卡平均耗时统计
图6-3,passRate,第5关,5,70.0,,关卡通关率统计
图6-3,avgDurationMinutes,第5关,5,15.1,,关卡平均耗时统计
图6-4,普通武器,第1关,1,40.0,,关卡掉落结果分布统计
图6-4,精良武器,第1关,1,18.0,,关卡掉落结果分布统计
图6-4,史诗武器,第1关,1,0.0,,关卡掉落结果分布统计
图6-4,传说武器,第1关,1,0.0,,关卡掉落结果分布统计
图6-4,功能道具,第1关,1,42.0,,关卡掉落结果分布统计
图6-4,普通武器,第2关,2,28.0,,关卡掉落结果分布统计
图6-4,精良武器,第2关,2,24.0,,关卡掉落结果分布统计
图6-4,史诗武器,第2关,2,8.0,,关卡掉落结果分布统计
图6-4,传说武器,第2关,2,0.0,,关卡掉落结果分布统计
图6-4,功能道具,第2关,2,40.0,,关卡掉落结果分布统计
图6-4,普通武器,第3关,3,18.0,,关卡掉落结果分布统计
图6-4,精良武器,第3关,3,28.0,,关卡掉落结果分布统计
图6-4,史诗武器,第3关,3,14.0,,关卡掉落结果分布统计
图6-4,传说武器,第3关,3,4.0,,关卡掉落结果分布统计
图6-4,功能道具,第3关,3,36.0,,关卡掉落结果分布统计
图6-4,普通武器,第4关,4,10.0,,关卡掉落结果分布统计
图6-4,精良武器,第4关,4,27.0,,关卡掉落结果分布统计
图6-4,史诗武器,第4关,4,20.0,,关卡掉落结果分布统计
图6-4,传说武器,第4关,4,8.0,,关卡掉落结果分布统计
图6-4,功能道具,第4关,4,35.0,,关卡掉落结果分布统计
图6-4,普通武器,第5关,5,6.0,,关卡掉落结果分布统计
图6-4,精良武器,第5关,5,20.0,,关卡掉落结果分布统计
图6-4,史诗武器,第5关,5,24.0,,关卡掉落结果分布统计
图6-4,传说武器,第5关,5,16.0,,关卡掉落结果分布统计
图6-4,功能道具,第5关,5,34.0,,关卡掉落结果分布统计
图6-5,bossKillSeconds,普通,普通,183.0,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1DamagePerMinute,普通,普通,1180.3,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1ClearMinutes,普通,普通,11.7,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,bossKillSeconds,精良,精良,160.1,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1DamagePerMinute,精良,精良,1348.9,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1ClearMinutes,精良,精良,10.5,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,bossKillSeconds,史诗,史诗,122.5,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1DamagePerMinute,史诗,史诗,1763.5,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1ClearMinutes,史诗,史诗,8.6,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,bossKillSeconds,传说,传说,89.4,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1DamagePerMinute,传说,传说,2415.6,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
图6-5,level1ClearMinutes,传说,传说,7.0,,基于建议平衡配置与伤害公式推导的第1关（难度1）实战指标
